tag,generator,n_taxa,target_mean_branch_length,seqtype,model,seq_length,tree_seed,seq_seed,tree_path,fasta_path,status
rtree_n30_bl0.125_rep001,rtree,30,0.125,AA,WAG+G5,500,2003463832,658387045,data/trees/rtree_n30_bl0.125_rep001.nwk,data/sim/rtree_n30_bl0.125_rep001.fa,ok
rtree_n30_bl0.125_rep002,rtree,30,0.125,AA,WAG+G5,500,793530503,2142234119,data/trees/rtree_n30_bl0.125_rep002.nwk,data/sim/rtree_n30_bl0.125_rep002.fa,ok
rtree_n30_bl0.125_rep003,rtree,30,0.125,AA,WAG+G5,500,1217863484,1191445057,data/trees/rtree_n30_bl0.125_rep003.nwk,data/sim/rtree_n30_bl0.125_rep003.fa,ok
rtree_n30_bl0.125_rep004,rtree,30,0.125,AA,WAG+G5,500,2106047737,643572278,data/trees/rtree_n30_bl0.125_rep004.nwk,data/sim/rtree_n30_bl0.125_rep004.fa,ok
rtree_n30_bl0.125_rep005,rtree,30,0.125,AA,WAG+G5,500,907193701,591620064,data/trees/rtree_n30_bl0.125_rep005.nwk,data/sim/rtree_n30_bl0.125_rep005.fa,ok
rtree_n30_bl0.125_rep006,rtree,30,0.125,AA,WAG+G5,500,262781476,2051648831,data/trees/rtree_n30_bl0.125_rep006.nwk,data/sim/rtree_n30_bl0.125_rep006.fa,ok
rtree_n30_bl0.125_rep007,rtree,30,0.125,AA,WAG+G5,500,237231883,1374455257,data/trees/rtree_n30_bl0.125_rep007.nwk,data/sim/rtree_n30_bl0.125_rep007.fa,ok
rtree_n30_bl0.125_rep008,rtree,30,0.125,AA,WAG+G5,500,2136775064,81691531,data/trees/rtree_n30_bl0.125_rep008.nwk,data/sim/rtree_n30_bl0.125_rep008.fa,ok
rtree_n30_bl0.125_rep009,rtree,30,0.125,AA,WAG+G5,500,1380996244,508614838,data/trees/rtree_n30_bl0.125_rep009.nwk,data/sim/rtree_n30_bl0.125_rep009.fa,ok
rtree_n30_bl0.125_rep010,rtree,30,0.125,AA,WAG+G5,500,606092783,290656212,data/trees/rtree_n30_bl0.125_rep010.nwk,data/sim/rtree_n30_bl0.125_rep010.fa,ok
rtree_n30_bl0.125_rep011,rtree,30,0.125,AA,WAG+G5,500,783027270,1981874539,data/trees/rtree_n30_bl0.125_rep011.nwk,data/sim/rtree_n30_bl0.125_rep011.fa,ok
rtree_n30_bl0.125_rep012,rtree,30,0.125,AA,WAG+G5,500,1378186127,1542802022,data/trees/rtree_n30_bl0.125_rep012.nwk,data/sim/rtree_n30_bl0.125_rep012.fa,ok
rtree_n30_bl0.125_rep013,rtree,30,0.125,AA,WAG+G5,500,61512836,1077068723,data/trees/rtree_n30_bl0.125_rep013.nwk,data/sim/rtree_n30_bl0.125_rep013.fa,ok
rtree_n30_bl0.125_rep014,rtree,30,0.125,AA,WAG+G5,500,858674115,1643061798,data/trees/rtree_n30_bl0.125_rep014.nwk,data/sim/rtree_n30_bl0.125_rep014.fa,ok
rtree_n30_bl0.125_rep015,rtree,30,0.125,AA,WAG+G5,500,349737664,30555628,data/trees/rtree_n30_bl0.125_rep015.nwk,data/sim/rtree_n30_bl0.125_rep015.fa,ok
rtree_n30_bl0.125_rep016,rtree,30,0.125,AA,WAG+G5,500,1269179451,1030401464,data/trees/rtree_n30_bl0.125_rep016.nwk,data/sim/rtree_n30_bl0.125_rep016.fa,ok
rtree_n30_bl0.125_rep017,rtree,30,0.125,AA,WAG+G5,500,645686827,228840729,data/trees/rtree_n30_bl0.125_rep017.nwk,data/sim/rtree_n30_bl0.125_rep017.fa,ok
rtree_n30_bl0.125_rep018,rtree,30,0.125,AA,WAG+G5,500,312062497,1932145736,data/trees/rtree_n30_bl0.125_rep018.nwk,data/sim/rtree_n30_bl0.125_rep018.fa,ok
rtree_n30_bl0.125_rep019,rtree,30,0.125,AA,WAG+G5,500,239630317,1576467865,data/trees/rtree_n30_bl0.125_rep019.nwk,data/sim/rtree_n30_bl0.125_rep019.fa,ok
rtree_n30_bl0.125_rep020,rtree,30,0.125,AA,WAG+G5,500,885201677,1029823482,data/trees/rtree_n30_bl0.125_rep020.nwk,data/sim/rtree_n30_bl0.125_rep020.fa,ok
rtree_n30_bl0.125_rep021,rtree,30,0.125,AA,WAG+G5,500,1924841511,1686031929,data/trees/rtree_n30_bl0.125_rep021.nwk,data/sim/rtree_n30_bl0.125_rep021.fa,ok
rtree_n30_bl0.125_rep022,rtree,30,0.125,AA,WAG+G5,500,527274336,2117901330,data/trees/rtree_n30_bl0.125_rep022.nwk,data/sim/rtree_n30_bl0.125_rep022.fa,ok
rtree_n30_bl0.125_rep023,rtree,30,0.125,AA,WAG+G5,500,1417971587,684712931,data/trees/rtree_n30_bl0.125_rep023.nwk,data/sim/rtree_n30_bl0.125_rep023.fa,ok
rtree_n30_bl0.125_rep024,rtree,30,0.125,AA,WAG+G5,500,886647488,1709003172,data/trees/rtree_n30_bl0.125_rep024.nwk,data/sim/rtree_n30_bl0.125_rep024.fa,ok
rtree_n30_bl0.125_rep025,rtree,30,0.125,AA,WAG+G5,500,2102353201,1976480840,data/trees/rtree_n30_bl0.125_rep025.nwk,data/sim/rtree_n30_bl0.125_rep025.fa,ok
rtree_n30_bl0.125_rep026,rtree,30,0.125,AA,WAG+G5,500,1537999834,1108545688,data/trees/rtree_n30_bl0.125_rep026.nwk,data/sim/rtree_n30_bl0.125_rep026.fa,ok
rtree_n30_bl0.125_rep027,rtree,30,0.125,AA,WAG+G5,500,1207119291,1641879946,data/trees/rtree_n30_bl0.125_rep027.nwk,data/sim/rtree_n30_bl0.125_rep027.fa,ok
rtree_n30_bl0.125_rep028,rtree,30,0.125,AA,WAG+G5,500,1017705355,190287687,data/trees/rtree_n30_bl0.125_rep028.nwk,data/sim/rtree_n30_bl0.125_rep028.fa,ok
rtree_n30_bl0.125_rep029,rtree,30,0.125,AA,WAG+G5,500,1496773440,1074882915,data/trees/rtree_n30_bl0.125_rep029.nwk,data/sim/rtree_n30_bl0.125_rep029.fa,ok
rtree_n30_bl0.125_rep030,rtree,30,0.125,AA,WAG+G5,500,1807168313,31011565,data/trees/rtree_n30_bl0.125_rep030.nwk,data/sim/rtree_n30_bl0.125_rep030.fa,ok
rtree_n30_bl0.125_rep031,rtree,30,0.125,AA,WAG+G5,500,1025677210,114069427,data/trees/rtree_n30_bl0.125_rep031.nwk,data/sim/rtree_n30_bl0.125_rep031.fa,ok
rtree_n30_bl0.125_rep032,rtree,30,0.125,AA,WAG+G5,500,1792468453,114880508,data/trees/rtree_n30_bl0.125_rep032.nwk,data/sim/rtree_n30_bl0.125_rep032.fa,ok
rtree_n30_bl0.125_rep033,rtree,30,0.125,AA,WAG+G5,500,652352526,544913808,data/trees/rtree_n30_bl0.125_rep033.nwk,data/sim/rtree_n30_bl0.125_rep033.fa,ok
rtree_n30_bl0.125_rep034,rtree,30,0.125,AA,WAG+G5,500,1272978753,1784382266,data/trees/rtree_n30_bl0.125_rep034.nwk,data/sim/rtree_n30_bl0.125_rep034.fa,ok
rtree_n30_bl0.125_rep035,rtree,30,0.125,AA,WAG+G5,500,635813720,493279720,data/trees/rtree_n30_bl0.125_rep035.nwk,data/sim/rtree_n30_bl0.125_rep035.fa,ok
