taxon,t23,t28,t9,t7,t5,t24,t26,t18,t27,t14,t2,t15,t17,t29,t30,t13,t4,t11,t20,t22,t25,t1,t6,t16,t12,t3,t10,t19,t21,t8
t23,0,0.042956725693628565,0.23475710435584565,0.5984290495417649,0.5984290495417649,0.72689449739104406,0.67259400424309279,0.67666253294549361,0.6604919297545343,0.6604919297545343,0.62895376381541834,0.62508410469716447,0.66854282539595788,0.64065822398405714,0.64459197701678694,0.64459197701678694,0.74863457653295218,0.68485223883720514,0.73120289479816558,0.76192150640895528,0.74863457653295218,0.71833588094579615,0.73553092050723323,0.73553092050723323,0.70985368173871,0.70985368173871,0.71833588094579615,0.77993152446633873,0.77993152446633873,0.70564081452423744
t28,0.042956725693628565,0,0.23475710435584565,0.60219143069705683,0.60976119186377487,0.73553092050723323,0.67666253294549361,0.68074856074991452,0.66450884905857943,0.64854208665801727,0.64065822398405714,0.63674069265938793,0.66450884905857943,0.63674069265938793,0.64065822398405714,0.62895376381541834,0.74424657796947247,0.67259400424309279,0.72260555105424351,0.76192150640895528,0.75304293711162951,0.71408531457062119,0.73120289479816558,0.73120289479816558,0.70985368173871,0.70985368173871,0.71833588094579615,0.78448788811665704,0.78448788811665704,0.70564081452423744
t9,0.23475710435584565,0.23475710435584565,0,0.62895376381541834,0.62508410469716447,0.76192150640895528,0.67259400424309279,0.68897372035587334,0.6604919297545343,0.65250868949797391,0.63283924980436745,0.64459197701678694,0.66450884905857943,0.67259400424309279,0.67666253294549361,0.65250868949797391,0.7753969096513138,0.69727071632619042,0.75747184956215019,0.75304293711162951,0.73553092050723323,0.71833588094579615,0.73987875418327442,0.73553092050723323,0.70985368173871,0.70144654722557664,0.70564081452423744,0.73987875418327442,0.73987875418327442,0.72260555105424351
t7,0.5984290495417649,0.60219143069705683,0.62895376381541834,0,0.15851957964483909,0.68074856074991452,0.68897372035587334,0.70564081452423744,0.68897372035587334,0.72689449739104406,0.63674069265938793,0.62508410469716447,0.68074856074991452,0.68485223883720514,0.68074856074991452,0.6604919297545343,0.80293506968090345,0.72689449739104406,0.73987875418327442,0.71833588094579615,0.73553092050723323,0.71408531457062119,0.72260555105424351,0.72260555105424351,0.70985368173871,0.70144654722557664,0.70985368173871,0.78448788811665704,0.78448788811665704,0.69727071632619042
t5,0.5984290495417649,0.60976119186377487,0.62508410469716447,0.15851957964483909,0,0.67666253294549361,0.67259400424309279,0.67666253294549361,0.68485223883720514,0.69727071632619042,0.62895376381541834,0.61739175497617604,0.66854282539595788,0.66854282539595788,0.66450884905857943,0.6604919297545343,0.77993152446633873,0.70564081452423744,0.73553092050723323,0.68897372035587334,0.73987875418327442,0.71408531457062119,0.72260555105424351,0.73120289479816558,0.70985368173871,0.70144654722557664,0.70564081452423744,0.76192150640895528,0.76192150640895528,0.71833588094579615
t24,0.72689449739104406,0.73553092050723323,0.76192150640895528,0.68074856074991452,0.67666253294549361,0,0.60596877165771457,0.60976119186377487,0.60976119186377487,0.59468151016529935,0.57983745815737264,0.57616240521834816,0.6604919297545343,0.64065822398405714,0.65649192384500799,0.62508410469716447,0.73987875418327442,0.67259400424309279,0.68074856074991452,0.73120289479816558,0.72260555105424351,0.70144654722557664,0.70144654722557664,0.70144654722557664,0.68897372035587334,0.70144654722557664,0.70144654722557664,0.73553092050723323,0.73553092050723323,0.72689449739104406
t26,0.67259400424309279,0.67666253294549361,0.67259400424309279,0.68897372035587334,0.67259400424309279,0.60596877165771457,0,0.14677653766244397,0.22964956517128432,0.30930513902526613,0.53313618399719309,0.50890900582680387,0.60219143069705683,0.64854208665801727,0.65250868949797391,0.58352678318245021,0.70985368173871,0.66450884905857943,0.6604919297545343,0.73553092050723323,0.73553092050723323,0.70144654722557664,0.70985368173871,0.71833588094579615,0.67259400424309279,0.68897372035587334,0.69311316045638127,0.75304293711162951,0.75304293711162951,0.72689449739104406
t18,0.67666253294549361,0.68074856074991452,0.68897372035587334,0.70564081452423744,0.67666253294549361,0.60976119186377487,0.14677653766244397,0,0.21699957799430089,0.30653948932818076,0.53313618399719309,0.51233243295493758,0.5984290495417649,0.62508410469716447,0.62895376381541834,0.58352678318245021,0.73553092050723323,0.66450884905857943,0.67259400424309279,0.71833588094579615,0.71833588094579615,0.69311316045638127,0.69727071632619042,0.70564081452423744,0.66854282539595788,0.68074856074991452,0.68897372035587334,0.73120289479816558,0.73120289479816558,0.72260555105424351
t27,0.6604919297545343,0.66450884905857943,0.6604919297545343,0.68897372035587334,0.68485223883720514,0.60976119186377487,0.22964956517128432,0.21699957799430089,0,0.27663716383126397,0.49533734644170113,0.48528434257769093,0.60596877165771457,0.62895376381541834,0.61739175497617604,0.58352678318245021,0.75304293711162951,0.67666253294549361,0.6604919297545343,0.74424657796947247,0.72260555105424351,0.68897372035587334,0.68897372035587334,0.69727071632619042,0.67259400424309279,0.66450884905857943,0.66854282539595788,0.71408531457062119,0.71408531457062119,0.73987875418327442
t14,0.6604919297545343,0.64854208665801727,0.65250868949797391,0.72689449739104406,0.69727071632619042,0.59468151016529935,0.30930513902526613,0.30653948932818076,0.27663716383126397,0,0.49533734644170113,0.49197451107183338,0.59468151016529935,0.5984290495417649,0.5984290495417649,0.54371143234759522,0.70985368173871,0.67666253294549361,0.68897372035587334,0.73120289479816558,0.70985368173871,0.68074856074991452,0.68897372035587334,0.69727071632619042,0.68074856074991452,0.68897372035587334,0.70564081452423744,0.73553092050723323,0.73553092050723323,0.73553092050723323
t2,0.62895376381541834,0.64065822398405714,0.63283924980436745,0.63674069265938793,0.62895376381541834,0.57983745815737264,0.53313618399719309,0.53313618399719309,0.49533734644170113,0.49533734644170113,0,0.15145635008169697,0.57616240521834816,0.57616240521834816,0.56885467687635038,0.58723049157732476,0.69727071632619042,0.613568812191437,0.64065822398405714,0.66854282539595788,0.67259400424309279,0.65649192384500799,0.64065822398405714,0.65250868949797391,0.6212301440363307,0.65649192384500799,0.6604919297545343,0.69727071632619042,0.69727071632619042,0.68897372035587334
t15,0.62508410469716447,0.63674069265938793,0.64459197701678694,0.62508410469716447,0.61739175497617604,0.57616240521834816,0.50890900582680387,0.51233243295493758,0.48528434257769093,0.49197451107183338,0.15145635008169697,0,0.5984290495417649,0.57983745815737264,0.58723049157732476,0.59094869593240429,0.70144654722557664,0.60976119186377487,0.62895376381541834,0.70985368173871,0.68897372035587334,0.65649192384500799,0.6604919297545343,0.67259400424309279,0.63674069265938793,0.65250868949797391,0.66450884905857943,0.68074856074991452,0.68074856074991452,0.68485223883720514
t17,0.66854282539595788,0.66450884905857943,0.66450884905857943,0.68074856074991452,0.66854282539595788,0.6604919297545343,0.60219143069705683,0.5984290495417649,0.60596877165771457,0.59468151016529935,0.57616240521834816,0.5984290495417649,0,0.4023457972626367,0.40847485078005102,0.37227999685939411,0.73987875418327442,0.67259400424309279,0.69311316045638127,0.70985368173871,0.70144654722557664,0.67259400424309279,0.66854282539595788,0.66854282539595788,0.66450884905857943,0.63674069265938793,0.63283924980436745,0.69727071632619042,0.69311316045638127,0.67259400424309279
t29,0.64065822398405714,0.63674069265938793,0.67259400424309279,0.68485223883720514,0.66854282539595788,0.64065822398405714,0.64854208665801727,0.62508410469716447,0.62895376381541834,0.5984290495417649,0.57616240521834816,0.57983745815737264,0.4023457972626367,0,0.057718398950018762,0.29011256707362265,0.71408531457062119,0.68485223883720514,0.71408531457062119,0.73553092050723323,0.72260555105424351,0.70985368173871,0.71408531457062119,0.70985368173871,0.69311316045638127,0.69311316045638127,0.69727071632619042,0.76192150640895528,0.75747184956215019,0.73120289479816558
t30,0.64459197701678694,0.64065822398405714,0.67666253294549361,0.68074856074991452,0.66450884905857943,0.65649192384500799,0.65250868949797391,0.62895376381541834,0.61739175497617604,0.5984290495417649,0.56885467687635038,0.58723049157732476,0.40847485078005102,0.057718398950018762,0,0.28469944701471683,0.73553092050723323,0.68897372035587334,0.69727071632619042,0.73987875418327442,0.73553092050723323,0.70985368173871,0.70144654722557664,0.69727071632619042,0.69311316045638127,0.68485223883720514,0.68897372035587334,0.74863457653295218,0.74424657796947247,0.72689449739104406
t13,0.64459197701678694,0.62895376381541834,0.65250868949797391,0.6604919297545343,0.6604919297545343,0.62508410469716447,0.58352678318245021,0.58352678318245021,0.58352678318245021,0.54371143234759522,0.58723049157732476,0.59094869593240429,0.37227999685939411,0.29011256707362265,0.28469944701471683,0,0.70564081452423744,0.63674069265938793,0.67259400424309279,0.70985368173871,0.70564081452423744,0.68485223883720514,0.69727071632619042,0.69311316045638127,0.66854282539595788,0.63674069265938793,0.64459197701678694,0.70144654722557664,0.69727071632619042,0.67666253294549361
t4,0.74863457653295218,0.74424657796947247,0.7753969096513138,0.80293506968090345,0.77993152446633873,0.73987875418327442,0.70985368173871,0.73553092050723323,0.75304293711162951,0.70985368173871,0.69727071632619042,0.70144654722557664,0.73987875418327442,0.71408531457062119,0.73553092050723323,0.70564081452423744,0,0.46549196001999127,0.49197451107183338,0.54017325321116172,0.57250151436815777,0.52615085840719733,0.53313618399719309,0.54371143234759522,0.54726283835267198,0.56160273326403276,0.56885467687635038,0.57616240521834816,0.57616240521834816,0.58352678318245021
t11,0.68485223883720514,0.67259400424309279,0.69727071632619042,0.72689449739104406,0.70564081452423744,0.67259400424309279,0.66450884905857943,0.66450884905857943,0.67666253294549361,0.67666253294549361,0.613568812191437,0.60976119186377487,0.67259400424309279,0.68485223883720514,0.68897372035587334,0.63674069265938793,0.46549196001999127,0,0.36932509556572113,0.51233243295493758,0.54017325321116172,0.49197451107183338,0.50890900582680387,0.5054978711026118,0.48862353757976335,0.51921652104966642,0.52615085840719733,0.55440572914599806,0.55082757049029496,0.54371143234759522
t20,0.73120289479816558,0.72260555105424351,0.75747184956215019,0.73987875418327442,0.73553092050723323,0.68074856074991452,0.6604919297545343,0.67259400424309279,0.6604919297545343,0.68897372035587334,0.64065822398405714,0.62895376381541834,0.69311316045638127,0.71408531457062119,0.69727071632619042,0.67259400424309279,0.49197451107183338,0.36932509556572113,0,0.54726283835267198,0.56160273326403276,0.53313618399719309,0.53664820278445313,0.55082757049029496,0.52615085840719733,0.49533734644170113,0.49871212796585074,0.54726283835267198,0.54726283835267198,0.52963710085171178
t22,0.76192150640895528,0.76192150640895528,0.75304293711162951,0.71833588094579615,0.68897372035587334,0.73120289479816558,0.73553092050723323,0.71833588094579615,0.74424657796947247,0.73120289479816558,0.66854282539595788,0.70985368173871,0.70985368173871,0.73553092050723323,0.73987875418327442,0.70985368173871,0.54017325321116172,0.51233243295493758,0.54726283835267198,0,0.49533734644170113,0.45252247531008027,0.44291025165277492,0.45252247531008027,0.46549196001999127,0.54726283835267198,0.55440572914599806,0.59468151016529935,0.59468151016529935,0.56522178525986688
t25,0.74863457653295218,0.75304293711162951,0.73553092050723323,0.73553092050723323,0.73987875418327442,0.72260555105424351,0.73553092050723323,0.71833588094579615,0.72260555105424351,0.70985368173871,0.67259400424309279,0.68897372035587334,0.70144654722557664,0.72260555105424351,0.73553092050723323,0.70564081452423744,0.57250151436815777,0.54017325321116172,0.56160273326403276,0.49533734644170113,0,0.3605151406196585,0.36932509556572113,0.36637935677138539,0.36344272383019616,0.54726283835267198,0.54017325321116172,0.57250151436815777,0.56885467687635038,0.55082757049029496
