taxon,t16,t7,t17,t6,t5,t4,t28,t8,t2,t3,t25,t14,t11,t19,t24,t9,t1,t23,t10,t12,t22,t29,t26,t20,t27,t13,t21,t15,t18,t30
t16,0,0.88351648525384208,2.7282038515382658,2.6880495343955406,3.0255123604984497,2.6349371685622551,2.7099723545051693,2.8935606285503135,3.0514528726243122,2.6707905268176337,2.7583566657896057,2.7834163608918447,2.5233334335823008,3.1844140715052669,3.2646628034060825,3.5961099038246225,3.2003082835957772,3.4841205522010461,27.631021115928547,3.4094238979329594,3.2452574232624229,3.1858539565632542,3.2222355592500378,3.2808633242141667,27.631021115928547,3.7170229903744203,3.6357529786447249,3.5412245472483108,3.1645807872169418,3.1130341930115342
t7,0.88351648525384208,0,2.9271579670392627,2.872275615655743,2.8825761359137085,2.7743260067226725,2.8682461175719864,3.0103738235469391,3.1722901256311955,2.9889982413726468,2.9330069895406008,2.9518054949832031,2.6182729032824312,3.607835355536134,3.430128058354577,3.5404761155234423,3.0564172253755721,3.0476085622675226,3.584292932302799,3.2639217972125625,3.3786922422311365,3.0707299254816993,3.5365178066223768,3.21839494003085,3.2042979588683025,3.441899248847291,3.4327270870305617,3.4740024220354613,3.4426234233164523,3.2653728252785217
t17,2.7282038515382658,2.9271579670392627,0,0.0033726844786392302,0.40980350970676249,0.38174483089778571,0.39021945788875806,0.40908961370712471,0.6578078141146364,0.63119489368499759,0.97523326750760508,0.9693568518494895,0.9883716140496831,1.9746575610624819,2.09398372717961,2.1177002537969263,2.0311320312086747,2.7571759920578098,3.0598536132276228,3.1660776393012302,3.2539585347151592,2.7499219070482388,2.6571403055499894,2.7748902192280607,2.9489072403782246,2.7523171177741936,2.5237990730390409,2.5204388988648261,2.8413754719080084,2.5247666432720646
t6,2.6880495343955406,2.872275615655743,0.0033726844786392302,0,0.413679698876878,0.38619943909757626,0.39400366458915786,0.41297392381705922,0.66103866215152784,0.63433415344186117,0.98115012578842442,0.97523326750760508,0.99047252928353047,1.9776433462576886,2.0974162787176862,2.12525107771113,2.030651377510404,2.7983370477743104,3.0511920289253593,3.1934073532101444,3.3033906497431791,2.8002223155461641,2.6864726004576625,2.7985087288817923,2.9762588488849993,2.7700070886407118,2.5638871199033,2.5271768704846203,2.856681970700671,2.5388133960519137
t5,3.0255123604984497,2.8825761359137085,0.40980350970676249,0.413679698876878,0,0.19216814663071355,0.19917752112328979,0.33108138798633652,0.64627824656840716,0.62800787838898386,0.93966083149749469,0.93645417461715019,0.98531787869486598,1.9811216106340133,2.062730720729796,2.1374216133313855,2.1720630315602323,2.9411350905042677,2.8889277143239309,2.6695065957044934,2.8840243620900736,2.8217628372682206,2.7332942600544223,2.7538859413580012,3.0636979235844124,2.712848674800763,2.4648198912212629,2.5344496298137003,2.8829881121345537,2.5291045819249529
t4,2.6349371685622551,2.7743260067226725,0.38174483089778571,0.38619943909757626,0.19216814663071355,0,0.093394470406185939,0.27301811826476668,0.60342555878657389,0.58414646546140092,0.93422191257216713,0.92739391135150029,0.95935022133460202,1.8804727514527251,2.0058142232243847,1.897600638584152,2.0362423365772604,2.7347313860502704,2.9109670069262812,2.6022085692455437,2.8562006229176107,2.7066144506761058,2.6695658650072405,2.7188689146293776,3.0452886478940373,2.6919361083479725,2.409339486537982,2.4401827926102864,2.6492920428801385,2.5933152146493432
t28,2.7099723545051693,2.8682461175719864,0.39021945788875806,0.39400366458915786,0.19917752112328979,0.093394470406185939,0,0.28447591388614801,0.5964447276452336,0.5858691187728472,0.96400078792777844,0.95695271359304479,0.98466802931889197,1.90595183675371,2.0571075176119353,1.9776433462576886,2.0890848179516404,2.6023068004009389,2.9451122827074827,2.6271934323291384,2.6744375693495672,2.6427038167188708,2.5823243119318899,2.6387704267299164,2.9295197116093554,2.639726449747283,2.3611626311887557,2.4275556690304532,2.7037367508484906,2.5456273838636276
t8,2.8935606285503135,3.0103738235469391,0.40908961370712471,0.41297392381705922,0.33108138798633652,0.27301811826476668,0.28447591388614801,0,0.64522819643598339,0.63416893000301067,1.0404890894180621,1.0301019262375641,0.97986725197553526,1.9473569783407383,1.9797950505757316,1.8927836735861019,1.9742739086535268,2.7022947895315892,3.1091769076117761,2.8205281845289001,2.7360137597308567,2.7177214563673879,2.8711349014778773,2.7316321860738788,3.0794694678006573,2.8084621872268736,2.3717856272374283,2.469639177657212,2.693199628778884,2.4988126452563106
t2,3.0514528726243122,3.1722901256311955,0.6578078141146364,0.66103866215152784,0.64627824656840716,0.60342555878657389,0.5964447276452336,0.64522819643598339,0,0.46065152367545525,0.87815949431082241,0.87863922567046659,0.97035795314443085,1.9805224269412549,2.2122188123065314,2.0357623749649747,2.044581676562343,2.6966378090504652,2.731374873668619,2.8443326270986224,3.4807592044983409,2.6170992261085,2.8191633692494862,2.8936259721002937,3.0936282901676577,2.8851348975584821,2.4309002761249112,2.4539338656926306,2.6461843943591559,2.6717511416849713
t3,2.6707905268176337,2.9889982413726468,0.63119489368499759,0.63433415344186117,0.62800787838898386,0.58414646546140092,0.5858691187728472,0.63416893000301067,0.46065152367545525,0,0.89960381308914039,0.89067263260506457,0.93614129895797071,2.1692937675894974,2.2736662728361616,2.0712977840969158,2.1439160238817121,2.8744946358597145,3.1044134499676272,3.1207669726056948,3.1115894540171603,2.7172002769811594,3.1689004483614585,3.0533694999479759,3.1961368062826767,3.0382295107778692,2.5993170009657445,2.9112139615091821,2.9109670069262812,2.6810022888801375
t25,2.7583566657896057,2.9330069895406008,0.97523326750760508,0.98115012578842442,0.93966083149749469,0.93422191257216713,0.96400078792777844,1.0404890894180621,0.87815949431082241,0.89960381308914039,0,0.012097897369509409,0.64627824656840716,1.9707229034131146,2.2093341949216714,2.2093341949216714,2.0641740695490474,2.9772000254250632,2.9286680429734453,2.9223133388422622,2.9075959466666972,2.7046969045468341,3.1588717779496824,2.5936268998276639,2.785817322429383,2.6166206427062093,2.8150223206543781,2.9317365914779723,2.8253521205597534,2.8119673679407851
t14,2.7834163608918447,2.9518054949832031,0.9693568518494895,0.97523326750760508,0.93645417461715019,0.92739391135150029,0.95695271359304479,1.0301019262375641,0.87863922567046659,0.89067263260506457,0.012097897369509409,0,0.64859115900971254,1.9712033261943944,2.2546661088700835,2.2275151198041327,2.0722593226325374,2.9334734342483837,2.8816472885787747,2.9574387741899018,2.9010359403949773,2.6412660019492429,3.1260516353971162,2.582000027740933,2.786296823757199,2.5785340357581092,2.8026846073614857,2.9250051305079734,2.8193607222529762,2.7997096899464156
t11,2.5233334335823008,2.6182729032824312,0.9883716140496831,0.99047252928353047,0.98531787869486598,0.95935022133460202,0.98466802931889197,0.97986725197553526,0.97035795314443085,0.93614129895797071,0.64627824656840716,0.64859115900971254,0,2.0599865982955015,2.1692937675894974,2.1443962159677703,1.9594238682220362,2.6281178626137094,2.7372920506967073,2.5161591932921046,2.7891757459145787,2.5079451288195829,2.7768040954103448,2.9278548511509053,3.016510986823226,2.8715523457926131,2.6894383539076112,2.7418024879071017,2.8025929211605005,2.6552218397337608
t19,3.1844140715052669,3.607835355536134,1.9746575610624819,1.9776433462576886,1.9811216106340133,1.8804727514527251,1.90595183675371,1.9473569783407383,1.9805224269412549,2.1692937675894974,1.9707229034131146,1.9712033261943944,2.0599865982955015,0,0.72638582203567914,1.0227201947208864,1.6551124359765343,2.9007704651170632,2.7829354760544938,2.7944927374175208,3.4216360493394293,3.16842140643613,2.9295197116093554,3.1351593437754235,3.022918413858148,2.8888432898874759,3.6778455211087833,3.0511920289253589,3.1319445407863871,3.5592016308054037
t24,3.2646628034060825,3.430128058354577,2.09398372717961,2.0974162787176862,2.062730720729796,2.0058142232243847,2.0571075176119353,1.9797950505757316,2.2122188123065314,2.2736662728361616,2.2093341949216714,2.2546661088700835,2.1692937675894974,0.72638582203567914,0,1.0181250377554232,1.7535382564078572,2.905845954478762,3.0088297200593912,2.8797195771384421,3.0929748211093697,3.0504931796523822,3.1494034520534333,3.1725083528992282,3.1579125452622225,2.9290408990553187,3.3526143783538722,3.2162249015179714,3.039527710213584,3.4099057095539398
t9,3.5961099038246225,3.5404761155234423,2.1177002537969263,2.12525107771113,2.1374216133313855,1.897600638584152,1.9776433462576886,1.8927836735861019,2.0357623749649747,2.0712977840969158,2.2093341949216714,2.2275151198041327,2.1443962159677703,1.0227201947208864,1.0181250377554232,0,1.6283751134538511,2.8662879163096324,2.9933255335234259,2.9005536640412841,3.2344403414093126,3.1395350141923939,3.1858539565632542,3.1332436343772847,3.0756150452015967,3.1508412668230608,3.0518961007047714,2.9625066259256707,3.0476085622675226,2.8950067604003134
t1,3.2003082835957772,3.0564172253755721,2.0311320312086747,2.030651377510404,2.1720630315602323,2.0362423365772604,2.0890848179516404,1.9742739086535268,2.044581676562343,2.1439160238817121,2.0641740695490474,2.0722593226325374,1.9594238682220362,1.6551124359765343,1.7535382564078572,1.6283751134538511,0,2.8040314253644438,3.0727318139875117,2.8490412221846722,3.2632180644117086,2.913847469791635,3.4040750814897707,3.0697297830531829,3.1001881248071967,3.0543264378200439,3.2344403414093126,3.2887296520691174,3.1470024905158951,3.2958368660043291
t23,3.4841205522010461,3.0476085622675226,2.7571759920578098,2.7983370477743104,2.9411350905042677,2.7347313860502704,2.6023068004009389,2.7022947895315892,2.6966378090504652,2.8744946358597145,2.9772000254250632,2.9334734342483837,2.6281178626137094,2.9007704651170632,2.905845954478762,2.8662879163096324,2.8040314253644438,0,2.1201035233987255,2.3224838325494179,2.2741471576735122,1.9416152247724325,2.2170080934915588,2.1334026452654999,2.173605151513339,2.1588483192842465,2.2450522775237509,2.3074043794299945,2.435226166072034,2.3239244090290412
t10,27.631021115928547,3.584292932302799,3.0598536132276228,3.0511920289253593,2.8889277143239309,2.9109670069262812,2.9451122827074827,3.1091769076117761,2.731374873668619,3.1044134499676272,2.9286680429734453,2.8816472885787747,2.7372920506967073,2.7829354760544938,3.0088297200593912,2.9933255335234259,3.0727318139875117,2.1201035233987255,0,2.1981902944561784,2.37102627837639,2.2939767184574453,2.239367021000978,2.2175741167514991,2.1526267151042857,2.1463146817839989,2.1790161202706182,2.0789587996960464,2.1247694981207972,2.1654457589933238
t12,3.4094238979329594,3.2639217972125625,3.1660776393012302,3.1934073532101444,2.6695065957044934,2.6022085692455437,2.6271934323291384,2.8205281845289001,2.8443326270986224,3.1207669726056948,2.9223133388422622,2.9574387741899018,2.5161591932921046,2.7944927374175208,2.8797195771384421,2.9005536640412841,2.8490412221846722,2.3224838325494179,2.1981902944561784,0,1.271792574205078,1.7764919970972666,1.6800789095516406,1.7722675281271976,1.7004325736732031,1.7182683368183698,1.9163419482733621,1.8206901459204765,1.7023401931698849,1.7286691742668487
t22,3.2452574232624229,3.3786922422311365,3.2539585347151592,3.3033906497431791,2.8840243620900736,2.8562006229176107,2.6744375693495672,2.7360137597308567,3.4807592044983409,3.1115894540171603,2.9075959466666972,2.9010359403949773,2.7891757459145787,3.4216360493394293,3.0929748211093697,3.2344403414093126,3.2632180644117086,2.2741471576735122,2.37102627837639,1.271792574205078,0,1.7047480922384253,1.8354688574771458,1.7633484673952751,1.7595901862946635,1.8072336658106523,1.9224584880202635,1.910752133675939,1.8256111194590792,1.7898308283216495
t29,3.1858539565632542,3.0707299254816993,2.7499219070482388,2.8002223155461641,2.8217628372682206,2.7066144506761058,2.6427038167188708,2.7177214563673879,2.6170992261085,2.7172002769811594,2.7046969045468341,2.6412660019492429,2.5079451288195829,3.16842140643613,3.0504931796523822,3.1395350141923939,2.913847469791635,1.9416152247724325,2.2939767184574453,1.7764919970972666,1.7047480922384253,0,0.65010966887996313,0.8596367718409188,0.87920598476828338,0.90207248287187602,1.5697726560416689,1.4350845252893227,1.4641002888226573,1.4845854556754166
t26,3.2222355592500378,3.5365178066223768,2.6571403055499894,2.6864726004576625,2.7332942600544223,2.6695658650072405,2.5823243119318899,2.8711349014778773,2.8191633692494862,3.1689004483614585,3.1588717779496824,3.1260516353971162,2.7768040954103448,2.9295197116093554,3.1494034520534333,3.1858539565632542,3.4040750814897707,2.2170080934915588,2.239367021000978,1.6800789095516406,1.8354688574771458,0.65010966887996313,0,0.87996570709084609,0.8596367718409188,0.8774736069929403,1.6377462936980225,1.520306407442684,1.4609187288440859,1.5466995718006771
t20,3.2808633242141667,3.21839494003085,2.7748902192280607,2.7985087288817923,2.7538859413580012,2.7188689146293776,2.6387704267299164,2.7316321860738788,2.8936259721002937,3.0533694999479759,2.5936268998276639,2.582000027740933,2.9278548511509053,3.1351593437754235,3.1725083528992282,3.1332436343772847,3.0697297830531829,2.1334026452654999,2.2175741167514991,1.7722675281271976,1.7633484673952751,0.8596367718409188,0.87996570709084609,0,0.20668471076779393,0.20566141460772727,1.5438177254257881,1.4185079811035455,1.3593487460063989,1.4902709408566135
t27,27.631021115928547,3.2042979588683025,2.9489072403782246,2.9762588488849993,3.0636979235844124,3.0452886478940373,2.9295197116093554,3.0794694678006573,3.0936282901676577,3.1961368062826767,2.785817322429383,2.786296823757199,3.016510986823226,3.022918413858148,3.1579125452622225,3.0756150452015967,3.1001881248071967,2.173605151513339,2.1526267151042857,1.7004325736732031,1.7595901862946635,0.87920598476828338,0.8596367718409188,0.20668471076779393,0,0.11945427873368585,1.5473699417984141,1.4155647434200038,1.3472581327932556,1.480837081178181
t13,3.7170229903744203,3.441899248847291,2.7523171177741936,2.7700070886407118,2.712848674800763,2.6919361083479725,2.639726449747283,2.8084621872268736,2.8851348975584821,3.0382295107778692,2.6166206427062093,2.5785340357581092,2.8715523457926131,2.8888432898874759,2.9290408990553187,3.1508412668230608,3.0543264378200439,2.1588483192842465,2.1463146817839989,1.7182683368183698,1.8072336658106523,0.90207248287187602,0.8774736069929403,0.20566141460772727,0.11945427873368585,0,1.5181110168792482,1.4374866403045672,1.3454915147006232,1.4253618293108001
