taxon,t3,t28,t9,t27,t16,t25,t5,t22,t7,t11,t13,t18,t21,t19,t2,t29,t26,t6,t14,t30,t23,t1,t17,t4,t12,t8,t20,t24,t15,t10
t3,0,0.62,0.94000000000000006,2.2200000000000002,2.4700000000000002,2.4900000000000002,2.5899999999999999,2.3999999999999999,2.5699999999999998,2.6000000000000001,1.75,2.25,2.04,1.8400000000000001,2.77,2.5899999999999999,2.7600000000000002,4.75,4.1600000000000001,3.7000000000000002,3.7000000000000002,3.0899999999999999,2.3700000000000001,2.9700000000000002,3.04,2.3500000000000001,2.4700000000000002,3.4100000000000001,2.3300000000000001,2.6000000000000001
t28,0.62,0,1.1400000000000001,2.4300000000000002,2.4700000000000002,2.79,2.8100000000000001,2.6200000000000001,2.7000000000000002,2.7800000000000002,2.1299999999999999,2.46,2.3000000000000003,2.1099999999999999,2.79,2.5699999999999998,2.8199999999999998,4.1299999999999999,3.6400000000000001,4.3399999999999999,3.8100000000000001,3.21,2.3599999999999999,3.2400000000000002,3.1099999999999999,2.6099999999999999,2.6800000000000002,3.4900000000000002,2.52,2.79
t9,0.94000000000000006,1.1400000000000001,0,1.8400000000000001,2.0600000000000001,2.1600000000000001,2.2200000000000002,2.0899999999999999,2.3199999999999998,2.3500000000000001,1.3600000000000001,1.9199999999999999,1.5700000000000001,1.4399999999999999,2.0300000000000002,1.8900000000000001,2.1099999999999999,3.7400000000000002,3.79,3.3000000000000003,3.1800000000000002,2.3700000000000001,1.8100000000000001,2.4300000000000002,2.5899999999999999,2.0300000000000002,2.04,2.54,2,2.1499999999999999
t27,2.2200000000000002,2.4300000000000002,1.8400000000000001,0,0.81000000000000005,1.1500000000000001,1.1400000000000001,0.95000000000000007,1.1500000000000001,1.1599999999999999,1.26,1.8700000000000001,1.48,1.3200000000000001,2.5,2.3900000000000001,2.5699999999999998,3.98,4.5700000000000003,3.7200000000000002,3.5700000000000003,2.7000000000000002,2.4100000000000001,2.9399999999999999,2.73,2.5800000000000001,2.4700000000000002,2.9700000000000002,2.21,2.3300000000000001
t16,2.4700000000000002,2.4700000000000002,2.0600000000000001,0.81000000000000005,0,0.83000000000000007,0.81000000000000005,0.59999999999999998,1.1500000000000001,1.1599999999999999,1.3600000000000001,2.1600000000000001,1.6400000000000001,1.48,2.8300000000000001,2.71,2.79,5,4.3700000000000001,3.8700000000000001,3.7000000000000002,3.2200000000000002,2.6200000000000001,3.1200000000000001,2.9100000000000001,2.9199999999999999,2.8799999999999999,3.52,2.6000000000000001,2.8500000000000001
t25,2.4900000000000002,2.79,2.1600000000000001,1.1500000000000001,0.83000000000000007,0,0.14000000000000001,1.04,1.45,1.47,1.54,2.4199999999999999,1.8400000000000001,1.7,2.9300000000000002,3,3.0899999999999999,5,4.4699999999999998,4.46,4.1600000000000001,3.75,3.0100000000000002,3.6899999999999999,3.2800000000000002,3.0700000000000003,3.1000000000000001,3.6099999999999999,2.98,2.77
t5,2.5899999999999999,2.8100000000000001,2.2200000000000002,1.1400000000000001,0.81000000000000005,0.14000000000000001,0,1.04,1.4099999999999999,1.4299999999999999,1.5,2.4100000000000001,1.8500000000000001,1.7,2.8700000000000001,2.8900000000000001,3.1200000000000001,5,4.7199999999999998,4.3500000000000005,4.0099999999999998,3.79,2.9900000000000002,3.73,3.1200000000000001,3.0899999999999999,3.1400000000000001,3.6200000000000001,2.96,2.8700000000000001
t22,2.3999999999999999,2.6200000000000001,2.0899999999999999,0.95000000000000007,0.59999999999999998,1.04,1.04,0,1.27,1.3,1.5,2.1099999999999999,1.6300000000000001,1.6000000000000001,2.8300000000000001,2.7800000000000002,3,5,4.25,4.0600000000000005,4.04,3.0800000000000001,2.7000000000000002,3.3399999999999999,3.29,3.02,2.9900000000000002,3.6699999999999999,2.79,2.8199999999999998
t7,2.5699999999999998,2.7000000000000002,2.3199999999999998,1.1500000000000001,1.1500000000000001,1.45,1.4099999999999999,1.27,0,0.11,1.6500000000000001,2.2600000000000002,1.8800000000000001,1.78,2.96,2.8100000000000001,3.0500000000000003,4.8100000000000005,4.9199999999999999,4.5499999999999998,3.8500000000000001,3.3300000000000001,2.9199999999999999,3.3999999999999999,3,2.8799999999999999,2.7800000000000002,3.3100000000000001,2.6299999999999999,2.71
t11,2.6000000000000001,2.7800000000000002,2.3500000000000001,1.1599999999999999,1.1599999999999999,1.47,1.4299999999999999,1.3,0.11,0,1.71,2.3100000000000001,1.9299999999999999,1.8,2.9700000000000002,2.8599999999999999,3.1200000000000001,4.9800000000000004,4.9699999999999998,4.6600000000000001,3.9100000000000001,3.27,3,3.4900000000000002,3.0800000000000001,2.9300000000000002,2.8100000000000001,3.3500000000000001,2.7000000000000002,2.8399999999999999
t13,1.75,2.1299999999999999,1.3600000000000001,1.26,1.3600000000000001,1.54,1.5,1.5,1.6500000000000001,1.71,0,1.1400000000000001,0.59999999999999998,0.33000000000000002,2.04,1.8200000000000001,2.1699999999999999,3.6600000000000001,4,3.1600000000000001,3.1499999999999999,2.3300000000000001,1.8500000000000001,2.3000000000000003,2.3799999999999999,2.0899999999999999,1.99,2.3799999999999999,1.8900000000000001,2.04
