taxon,t26,t12,t24,t10,t20,t29,t1,t15,t7,t16,t3,t22,t23,t21,t13,t14,t2,t25,t28,t30,t17,t19,t5,t9,t18,t27,t11,t8,t4,t6
t26,0,0.95999999999999996,0.94000000000000006,1.02,1.02,1,0.95000000000000007,2.71,3.3799999999999999,3.3999999999999999,3.0800000000000001,2.9500000000000002,3.0500000000000003,2.8900000000000001,2.9399999999999999,3.1299999999999999,3.2400000000000002,3.29,3.3900000000000001,3.0800000000000001,2.8500000000000001,2.8199999999999998,3.27,3.4399999999999999,3.1400000000000001,3.9300000000000002,3.77,3.1000000000000001,3.3599999999999999,3.0700000000000003
t12,0.95999999999999996,0,0.070000000000000007,0.72999999999999998,0.88,0.85999999999999999,0.87,2.6899999999999999,3,3.0899999999999999,2.8100000000000001,2.77,2.9100000000000001,2.54,2.6400000000000001,2.75,2.8599999999999999,2.8199999999999998,3.1099999999999999,3.0300000000000002,2.8199999999999998,2.5500000000000003,3.02,2.96,2.9900000000000002,3.2200000000000002,3.5600000000000001,2.8300000000000001,3.1899999999999999,3.04
t24,0.94000000000000006,0.070000000000000007,0,0.72999999999999998,0.87,0.82000000000000006,0.89000000000000001,2.7200000000000002,3.04,3.1400000000000001,2.7600000000000002,2.8100000000000001,2.8700000000000001,2.6400000000000001,2.7000000000000002,2.73,2.8399999999999999,2.7400000000000002,3.2200000000000002,3,2.8100000000000001,2.5100000000000002,2.8799999999999999,3.0600000000000001,3,3.21,3.8399999999999999,2.8799999999999999,3.2000000000000002,3.1000000000000001
t10,1.02,0.72999999999999998,0.72999999999999998,0,0.90000000000000002,0.84999999999999998,0.83999999999999997,2.8999999999999999,3.3900000000000001,3.5100000000000002,2.8999999999999999,3,3.23,2.8399999999999999,2.9100000000000001,2.9100000000000001,3.1099999999999999,3.2400000000000002,3.3700000000000001,3.1499999999999999,2.71,2.98,3.0300000000000002,3.3599999999999999,3.27,3.8100000000000001,3.75,2.8599999999999999,3.0600000000000001,3.1299999999999999
t20,1.02,0.88,0.87,0.90000000000000002,0,0.70000000000000007,0.91000000000000003,3.1299999999999999,3.4900000000000002,3.1499999999999999,2.8900000000000001,3.0100000000000002,3.3000000000000003,2.6699999999999999,2.7000000000000002,3.1299999999999999,3.1299999999999999,3.2600000000000002,3.1200000000000001,3.3200000000000003,2.6400000000000001,2.9900000000000002,3.02,3.52,3.46,3.3399999999999999,3.6200000000000001,2.96,2.9100000000000001,3.25
t29,1,0.85999999999999999,0.82000000000000006,0.84999999999999998,0.70000000000000007,0,0.91000000000000003,2.71,3.5899999999999999,3.2200000000000002,3.0600000000000001,3.1800000000000002,3.1899999999999999,2.8700000000000001,2.9199999999999999,3.2000000000000002,3.25,3.4300000000000002,3.3999999999999999,3.3999999999999999,2.7200000000000002,2.9700000000000002,3.1400000000000001,3.4100000000000001,3.1899999999999999,3.6000000000000001,3.8399999999999999,3.0300000000000002,3.1000000000000001,3.2400000000000002
t1,0.95000000000000007,0.87,0.89000000000000001,0.83999999999999997,0.91000000000000003,0.91000000000000003,0,2.7800000000000002,3.0500000000000003,3.0300000000000002,3.1800000000000002,2.98,3.1400000000000001,2.6800000000000002,2.7200000000000002,2.9300000000000002,2.96,2.8500000000000001,3.4399999999999999,3.1099999999999999,2.52,2.8500000000000001,3.1200000000000001,3.1899999999999999,3.21,3.8000000000000003,4.2599999999999998,3.5300000000000002,3.1000000000000001,3.1699999999999999
t15,2.71,2.6899999999999999,2.7200000000000002,2.8999999999999999,3.1299999999999999,2.71,2.7800000000000002,0,1.9000000000000001,1.96,1.95,1.78,1.8600000000000001,1.8700000000000001,1.9000000000000001,2.0600000000000001,2.04,2.0699999999999998,2.04,2.02,1.74,1.9399999999999999,1.8100000000000001,3,3.0500000000000003,2.98,3.2600000000000002,2.8700000000000001,2.8399999999999999,2.8500000000000001
t7,3.3799999999999999,3,3.04,3.3900000000000001,3.4900000000000002,3.5899999999999999,3.0500000000000003,1.9000000000000001,0,2.3000000000000003,2.0600000000000001,1.99,1.8300000000000001,1.9000000000000001,1.8900000000000001,1.9000000000000001,1.96,1.95,2.1699999999999999,2.02,1.8,1.95,2.04,3.1200000000000001,3.25,3.52,3.7800000000000002,3.1899999999999999,2.9900000000000002,2.9199999999999999
t16,3.3999999999999999,3.0899999999999999,3.1400000000000001,3.5100000000000002,3.1499999999999999,3.2200000000000002,3.0300000000000002,1.96,2.3000000000000003,0,1,1.26,1.27,1.51,1.52,1.6300000000000001,1.6000000000000001,1.6200000000000001,1.5600000000000001,1.6899999999999999,1.5700000000000001,1.9399999999999999,1.9000000000000001,2.8399999999999999,2.8999999999999999,3.3900000000000001,3.0800000000000001,3.0700000000000003,3.2000000000000002,2.8599999999999999
