sequence_type,method,tag,generator,bl,rep,n_taxa,variant,postswap_mode,status,rf_distance,max_rf,recovered_percent,recovered_branch_percent,precision,recall,f1,n_ref_splits,n_pred_splits,n_true_positive_splits,total_ncut,fallback_count,total_postswaps
AA,NJ,rtree_n30_bl0.125_rep001,rtree,0.125,1,30,er20_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
AA,NJ,rtree_n30_bl0.125_rep001,rtree,0.125,1,30,log_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
AA,NJ,rtree_n30_bl0.125_rep001,rtree,0.125,1,30,wag_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
AA,NJ,rtree_n30_bl0.125_rep002,rtree,0.125,2,30,er20_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
AA,NJ,rtree_n30_bl0.125_rep002,rtree,0.125,2,30,log_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep002,rtree,0.125,2,30,wag_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
AA,NJ,rtree_n30_bl0.125_rep003,rtree,0.125,3,30,er20_nj,not_applicable,ok,10.0,54.0,81.4814814814815,81.48148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,27.0,22.0,,,
AA,NJ,rtree_n30_bl0.125_rep003,rtree,0.125,3,30,log_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
AA,NJ,rtree_n30_bl0.125_rep003,rtree,0.125,3,30,wag_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
AA,NJ,rtree_n30_bl0.125_rep004,rtree,0.125,4,30,er20_nj,not_applicable,ok,10.0,54.0,81.4814814814815,81.48148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,27.0,22.0,,,
AA,NJ,rtree_n30_bl0.125_rep004,rtree,0.125,4,30,log_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep004,rtree,0.125,4,30,wag_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep005,rtree,0.125,5,30,er20_nj,not_applicable,ok,2.0,54.0,96.2962962962963,96.29629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0,27.0,26.0,,,
AA,NJ,rtree_n30_bl0.125_rep005,rtree,0.125,5,30,log_nj,not_applicable,ok,0.0,54.0,100.0,100.0,1.0,1.0,1.0,27.0,27.0,27.0,,,
AA,NJ,rtree_n30_bl0.125_rep005,rtree,0.125,5,30,wag_nj,not_applicable,ok,0.0,54.0,100.0,100.0,1.0,1.0,1.0,27.0,27.0,27.0,,,
AA,NJ,rtree_n30_bl0.125_rep006,rtree,0.125,6,30,er20_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep006,rtree,0.125,6,30,log_nj,not_applicable,ok,2.0,54.0,96.2962962962963,96.29629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0,27.0,26.0,,,
AA,NJ,rtree_n30_bl0.125_rep006,rtree,0.125,6,30,wag_nj,not_applicable,ok,2.0,54.0,96.2962962962963,96.29629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0,27.0,26.0,,,
AA,NJ,rtree_n30_bl0.125_rep007,rtree,0.125,7,30,er20_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
AA,NJ,rtree_n30_bl0.125_rep007,rtree,0.125,7,30,log_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep007,rtree,0.125,7,30,wag_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep008,rtree,0.125,8,30,er20_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep008,rtree,0.125,8,30,log_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
AA,NJ,rtree_n30_bl0.125_rep008,rtree,0.125,8,30,wag_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
AA,NJ,rtree_n30_bl0.125_rep009,rtree,0.125,9,30,er20_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep009,rtree,0.125,9,30,log_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
AA,NJ,rtree_n30_bl0.125_rep009,rtree,0.125,9,30,wag_nj,not_applicable,ok,2.0,54.0,96.2962962962963,96.29629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0,27.0,26.0,,,
AA,NJ,rtree_n30_bl0.125_rep010,rtree,0.125,10,30,er20_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
AA,NJ,rtree_n30_bl0.125_rep010,rtree,0.125,10,30,log_nj,not_applicable,ok,2.0,54.0,96.2962962962963,96.29629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0,27.0,26.0,,,
AA,NJ,rtree_n30_bl0.125_rep010,rtree,0.125,10,30,wag_nj,not_applicable,ok,0.0,54.0,100.0,100.0,1.0,1.0,1.0,27.0,27.0,27.0,,,
AA,NJ,rtree_n30_bl0.125_rep011,rtree,0.125,11,30,er20_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
AA,NJ,rtree_n30_bl0.125_rep011,rtree,0.125,11,30,log_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
AA,NJ,rtree_n30_bl0.125_rep011,rtree,0.125,11,30,wag_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
AA,NJ,rtree_n30_bl0.125_rep012,rtree,0.125,12,30,er20_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
AA,NJ,rtree_n30_bl0.125_rep012,rtree,0.125,12,30,log_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep012,rtree,0.125,12,30,wag_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
AA,NJ,rtree_n30_bl0.125_rep013,rtree,0.125,13,30,er20_nj,not_applicable,ok,10.0,54.0,81.4814814814815,81.48148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,27.0,22.0,,,
AA,NJ,rtree_n30_bl0.125_rep013,rtree,0.125,13,30,log_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
AA,NJ,rtree_n30_bl0.125_rep013,rtree,0.125,13,30,wag_nj,not_applicable,ok,10.0,54.0,81.4814814814815,81.48148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,27.0,22.0,,,
AA,NJ,rtree_n30_bl0.125_rep014,rtree,0.125,14,30,er20_nj,not_applicable,ok,10.0,54.0,81.4814814814815,81.48148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,27.0,22.0,,,
AA,NJ,rtree_n30_bl0.125_rep014,rtree,0.125,14,30,log_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
AA,NJ,rtree_n30_bl0.125_rep014,rtree,0.125,14,30,wag_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep015,rtree,0.125,15,30,er20_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep015,rtree,0.125,15,30,log_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
AA,NJ,rtree_n30_bl0.125_rep015,rtree,0.125,15,30,wag_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
AA,NJ,rtree_n30_bl0.125_rep016,rtree,0.125,16,30,er20_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
AA,NJ,rtree_n30_bl0.125_rep016,rtree,0.125,16,30,log_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep016,rtree,0.125,16,30,wag_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
AA,NJ,rtree_n30_bl0.125_rep017,rtree,0.125,17,30,er20_nj,not_applicable,ok,10.0,54.0,81.4814814814815,81.48148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,27.0,22.0,,,
AA,NJ,rtree_n30_bl0.125_rep017,rtree,0.125,17,30,log_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
AA,NJ,rtree_n30_bl0.125_rep017,rtree,0.125,17,30,wag_nj,not_applicable,ok,10.0,54.0,81.4814814814815,81.48148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,27.0,22.0,,,
AA,NJ,rtree_n30_bl0.125_rep018,rtree,0.125,18,30,er20_nj,not_applicable,ok,12.0,54.0,77.77777777777779,77.77777777777779,0.7777777777777778,0.7777777777777778,0.7777777777777778,27.0,27.0,21.0,,,
AA,NJ,rtree_n30_bl0.125_rep018,rtree,0.125,18,30,log_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
