taxon,t28,t4,t13,t25,t26,t9,t29,t8,t5,t16,t14,t18,t21,t15,t19,t20,t3,t27,t24,t6,t22,t7,t10,t30,t17,t11,t1,t12,t2,t23
t28,0,0.47899424645690669,0.7830930775380297,0.8800018761480346,1.4817617305417374,1.4129060686018955,1.4534564845546023,1.4817617305417374,1.5901976521500683,1.5111772654066988,1.7786834733607484,1.6975232848805737,1.4963252949345636,1.4963252949345636,1.5263292958948378,1.3498437306939894,1.5737134721109867,1.5901976521500683,1.8697041161139474,1.5111772654066988,2.0310376508266565,1.7786834733607484,1.8697041161139474,2.0616541467168483,1.5901976521500683,1.8228138483779481,2.1269126794590698,2.8856133632179279,2.0616541467168483,1.6600154694495777
t4,0.47899424645690669,0,0.74433906962978913,0.86718105112855959,1.4817617305417374,1.3744360978112324,1.3744360978112324,1.5111772654066988,1.3620391213478242,1.6070522940391125,1.5901976521500683,1.8004241260156872,1.5111772654066988,1.4396946305534546,1.5575838181952646,1.5111772654066988,1.8458925923780138,1.641942305765282,1.8228138483779481,1.8697041161139474,1.894296483231191,1.5737134721109867,1.7370060849946398,1.7170048996830189,1.9197226469879514,2.0310376508266565,2.1983953143123132,2.4659015222663618,1.8697041161139474,2.1269126794590698
t13,0.7830930775380297,0.74433906962978913,0,0.6723660784334814,1.5263292958948378,1.3998622615679932,1.4674755843137168,1.5737134721109867,1.2481846116968216,1.5111772654066988,1.5111772654066988,2.0310376508266565,1.5417937612968899,1.757555315635726,1.4129060686018955,1.7370060849946398,1.7170048996830189,1.6785349288923559,1.6975232848805737,1.6600154694495777,1.6600154694495777,1.7370060849946398,1.641942305765282,1.8458925923780138,1.9733168699745609,2.7182556997322722,2.7182556997322722,2.9857619076863209,2.1269126794590698,2.0935738575309442
t25,0.8800018761480346,0.86718105112855959,0.6723660784334814,0,1.5575838181952646,1.3029534629579889,1.3498437306939894,1.3870414365485186,1.4674755843137168,1.5263292958948378,1.5575838181952646,1.5263292958948378,1.5111772654066988,1.5575838181952646,1.6600154694495777,1.5575838181952646,1.6070522940391125,1.8458925923780138,1.7170048996830189,1.8004241260156872,1.7370060849946398,1.8004241260156872,1.7170048996830189,1.894296483231191,2.1983953143123132,2.1269126794590698,1.894296483231191,2.5214825013816542,1.757555315635726,1.8004241260156872
t26,1.4817617305417374,1.4817617305417374,1.5263292958948378,1.5575838181952646,0,0.99885463187686563,0.98385413184686354,1.0871919086191528,1.4674755843137168,1.5737134721109867,1.4817617305417374,1.5263292958948378,1.3378434746841583,1.4534564845546023,1.4674755843137168,1.2481846116968216,1.2696146410298634,1.5901976521500683,1.4129060686018955,1.9733168699745609,1.5111772654066988,1.5575838181952646,1.641942305765282,1.7786834733607484,1.8004241260156872,1.8228138483779481,2.0016221159616951,1.9733168699745609,1.9733168699745609,2.0016221159616951
t9,1.4129060686018955,1.3744360978112324,1.3998622615679932,1.3029534629579889,0.99885463187686563,0,0.053890577825987759,1.1044340472876772,1.2481846116968216,1.2171456995746808,1.3498437306939894,1.3620391213478242,1.4817617305417374,1.4817617305417374,1.3260322069580539,1.2805637405957282,1.3498437306939894,1.4674755843137168,1.5901976521500683,1.7786834733607484,1.7370060849946398,1.5111772654066988,1.4817617305417374,1.4261807514264462,1.8228138483779481,1.7370060849946398,1.8004241260156872,2.5815145321368074,3.2381160851522282,2.4141568686511499
t29,1.4534564845546023,1.3744360978112324,1.4674755843137168,1.3498437306939894,0.98385413184686354,0.053890577825987759,0,1.1044340472876772,1.3378434746841583,1.2481846116968216,1.3620391213478242,1.3744360978112324,1.4963252949345636,1.5111772654066988,1.3620391213478242,1.3744360978112324,1.4674755843137168,1.3998622615679932,1.5575838181952646,1.7370060849946398,1.7370060849946398,1.5417937612968899,1.4817617305417374,1.5263292958948378,1.8228138483779481,1.6600154694495777,1.8004241260156872,2.4659015222663618,3.1013749175567664,2.1618026911852399
t8,1.4817617305417374,1.5111772654066988,1.5737134721109867,1.3870414365485186,1.0871919086191528,1.1044340472876772,1.1044340472876772,0,1.5575838181952646,1.4963252949345636,1.5111772654066988,1.3144040670560801,1.2481846116968216,1.2696146410298634,1.3998622615679932,1.3378434746841583,1.5263292958948378,1.4817617305417374,1.6600154694495777,1.757555315635726,1.6070522940391125,1.6600154694495777,1.6600154694495777,1.6600154694495777,1.7786834733607484,1.6242944327076363,2.0310376508266565,1.9197226469879514,2.2774157010556841,2.3202845114356441
t5,1.5901976521500683,1.3620391213478242,1.2481846116968216,1.4674755843137168,1.4674755843137168,1.2481846116968216,1.3378434746841583,1.5575838181952646,0,0.28631143611813614,0.43130091937075821,0.97646490951460474,1.3498437306939894,1.3744360978112324,1.3870414365485186,1.3498437306939894,1.4129060686018955,1.7370060849946398,1.5737134721109867,1.4963252949345636,1.7170048996830189,1.9460411368464041,1.7786834733607484,1.7370060849946398,1.6975232848805737,1.9733168699745609,2.1983953143123132,2.1269126794590698,1.8458925923780138,20.507479240952303
t16,1.5111772654066988,1.6070522940391125,1.5111772654066988,1.5263292958948378,1.5737134721109867,1.2171456995746808,1.2481846116968216,1.4963252949345636,0.28631143611813614,0,0.46771583843350129,1.0377234327753055,1.4129060686018955,1.4261807514264462,1.4129060686018955,1.3744360978112324,1.4261807514264462,1.6600154694495777,1.7170048996830189,1.3620391213478242,1.7370060849946398,2.0310376508266565,1.7370060849946398,1.6975232848805737,1.8228138483779481,1.9460411368464041,2.3657529777979707,2.1983953143123132,2.2368652851029767,4.4451945194777975
