sequence_type,method,tag,generator,bl,rep,n_taxa,variant,postswap_mode,status,rf_distance,max_rf,recovered_percent,recovered_branch_percent,precision,recall,f1,n_ref_splits,n_pred_splits,n_true_positive_splits,total_ncut,fallback_count,total_postswaps
NT,NJ,rtree_n30_bl0.125_rep001,rtree,0.125,1,30,jc69_nj,not_applicable,ok,10.0,54.0,81.4814814814815,81.48148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,27.0,22.0,,,
NT,NJ,rtree_n30_bl0.125_rep001,rtree,0.125,1,30,log_nj,not_applicable,ok,20.0,54.0,62.96296296296296,62.96296296296296,0.6296296296296297,0.6296296296296297,0.6296296296296297,27.0,27.0,17.0,,,
NT,NJ,rtree_n30_bl0.125_rep002,rtree,0.125,2,30,jc69_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
NT,NJ,rtree_n30_bl0.125_rep002,rtree,0.125,2,30,log_nj,not_applicable,ok,30.0,54.0,44.44444444444444,44.44444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,27.0,27.0,12.0,,,
NT,NJ,rtree_n30_bl0.125_rep003,rtree,0.125,3,30,jc69_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
NT,NJ,rtree_n30_bl0.125_rep003,rtree,0.125,3,30,log_nj,not_applicable,ok,34.0,54.0,37.03703703703704,37.03703703703704,0.37037037037037035,0.37037037037037035,0.37037037037037035,27.0,27.0,10.0,,,
NT,NJ,rtree_n30_bl0.125_rep004,rtree,0.125,4,30,jc69_nj,not_applicable,ok,12.0,54.0,77.77777777777779,77.77777777777779,0.7777777777777778,0.7777777777777778,0.7777777777777778,27.0,27.0,21.0,,,
NT,NJ,rtree_n30_bl0.125_rep004,rtree,0.125,4,30,log_nj,not_applicable,ok,32.0,54.0,40.74074074074075,40.74074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074,27.0,27.0,11.0,,,
NT,NJ,rtree_n30_bl0.125_rep005,rtree,0.125,5,30,jc69_nj,not_applicable,ok,4.0,54.0,92.5925925925926,92.5925925925926,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,27.0,25.0,,,
NT,NJ,rtree_n30_bl0.125_rep005,rtree,0.125,5,30,log_nj,not_applicable,ok,24.0,54.0,55.55555555555556,55.55555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,27.0,27.0,15.0,,,
NT,NJ,rtree_n30_bl0.125_rep006,rtree,0.125,6,30,jc69_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
NT,NJ,rtree_n30_bl0.125_rep006,rtree,0.125,6,30,log_nj,not_applicable,ok,30.0,54.0,44.44444444444444,44.44444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,27.0,27.0,12.0,,,
NT,NJ,rtree_n30_bl0.125_rep007,rtree,0.125,7,30,jc69_nj,not_applicable,ok,12.0,54.0,77.77777777777779,77.77777777777779,0.7777777777777778,0.7777777777777778,0.7777777777777778,27.0,27.0,21.0,,,
NT,NJ,rtree_n30_bl0.125_rep007,rtree,0.125,7,30,log_nj,not_applicable,ok,46.0,54.0,14.814814814814813,14.814814814814813,0.14814814814814814,0.14814814814814814,0.14814814814814814,27.0,27.0,4.0,,,
NT,NJ,rtree_n30_bl0.125_rep008,rtree,0.125,8,30,jc69_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
NT,NJ,rtree_n30_bl0.125_rep008,rtree,0.125,8,30,log_nj,not_applicable,ok,38.0,54.0,29.629629629629626,29.629629629629626,0.2962962962962963,0.2962962962962963,0.2962962962962963,27.0,27.0,8.0,,,
NT,NJ,rtree_n30_bl0.125_rep009,rtree,0.125,9,30,jc69_nj,not_applicable,ok,12.0,54.0,77.77777777777779,77.77777777777779,0.7777777777777778,0.7777777777777778,0.7777777777777778,27.0,27.0,21.0,,,
NT,NJ,rtree_n30_bl0.125_rep009,rtree,0.125,9,30,log_nj,not_applicable,ok,34.0,54.0,37.03703703703704,37.03703703703704,0.37037037037037035,0.37037037037037035,0.37037037037037035,27.0,27.0,10.0,,,
NT,NJ,rtree_n30_bl0.125_rep010,rtree,0.125,10,30,jc69_nj,not_applicable,ok,0.0,54.0,100.0,100.0,1.0,1.0,1.0,27.0,27.0,27.0,,,
NT,NJ,rtree_n30_bl0.125_rep010,rtree,0.125,10,30,log_nj,not_applicable,ok,16.0,54.0,70.37037037037037,70.37037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,27.0,27.0,19.0,,,
NT,NJ,rtree_n30_bl0.125_rep011,rtree,0.125,11,30,jc69_nj,not_applicable,ok,10.0,54.0,81.4814814814815,81.48148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,27.0,22.0,,,
NT,NJ,rtree_n30_bl0.125_rep011,rtree,0.125,11,30,log_nj,not_applicable,ok,44.0,54.0,18.518518518518523,18.51851851851852,0.18518518518518517,0.18518518518518517,0.18518518518518517,27.0,27.0,5.0,,,
NT,NJ,rtree_n30_bl0.125_rep012,rtree,0.125,12,30,jc69_nj,not_applicable,ok,14.0,54.0,74.07407407407408,74.07407407407408,0.7407407407407407,0.7407407407407407,0.7407407407407407,27.0,27.0,20.0,,,
NT,NJ,rtree_n30_bl0.125_rep012,rtree,0.125,12,30,log_nj,not_applicable,ok,32.0,54.0,40.74074074074075,40.74074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074,27.0,27.0,11.0,,,
NT,NJ,rtree_n30_bl0.125_rep013,rtree,0.125,13,30,jc69_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
NT,NJ,rtree_n30_bl0.125_rep013,rtree,0.125,13,30,log_nj,not_applicable,ok,20.0,54.0,62.96296296296296,62.96296296296296,0.6296296296296297,0.6296296296296297,0.6296296296296297,27.0,27.0,17.0,,,
NT,NJ,rtree_n30_bl0.125_rep014,rtree,0.125,14,30,jc69_nj,not_applicable,ok,8.0,54.0,85.18518518518519,85.18518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,27.0,23.0,,,
NT,NJ,rtree_n30_bl0.125_rep014,rtree,0.125,14,30,log_nj,not_applicable,ok,30.0,54.0,44.44444444444444,44.44444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,27.0,27.0,12.0,,,
NT,NJ,rtree_n30_bl0.125_rep015,rtree,0.125,15,30,jc69_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
NT,NJ,rtree_n30_bl0.125_rep015,rtree,0.125,15,30,log_nj,not_applicable,ok,28.0,54.0,48.14814814814815,48.148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,27.0,27.0,13.0,,,
NT,NJ,rtree_n30_bl0.125_rep016,rtree,0.125,16,30,jc69_nj,not_applicable,ok,6.0,54.0,88.88888888888889,88.88888888888889,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,27.0,24.0,,,
NT,NJ,rtree_n30_bl0.125_rep016,rtree,0.125,16,30,log_nj,not_applicable,ok,40.0,54.0,25.92592592592593,25.925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,27.0,27.0,7.0,,,
